Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,905,0,25,27.350216909573486,14.576643006876111,171.5516789990943,883.0,1.5113068476491336,0.0,25,27,29,31,37,42,50,58,170,170,170
GET,GET /api/exam-sheets,539,0,6,7.3423016957199145,3.9770769944880158,73.6343470052816,2254.2615955473098,0.9001042993181028,0.0,6,7,7,8,11,13,18,22,74,74,74
GET,GET /api/exam-sheets (progress),461,0,6,7.4311780128774485,4.123703998629935,101.92418200313114,2254.0325379609544,0.7698480185262437,0.0,6,7,7,8,10,13,15,18,100,100,100
GET,GET /api/exam-sheets (setup),25,0,120.0,124.19189992069732,40.88770800444763,198.5280389926629,2253.76,0.04174880794610866,0.0,120,140,150,150,180,200,200,200,200,200,200
GET,GET /api/exams,738,0,7,9.096198001555306,4.80217399308458,128.7278349918779,818.0,1.2324248105691278,0.0,7,8,8,9,12,16,24,70,130,130,130
GET,GET /api/exams (setup),25,0,88,93.94994772039354,25.760916993021965,157.65384600672405,818.0,0.04174880794610866,0.0,88,98,110,140,150,150,160,160,160,160,160
GET,GET /api/exams/{id},728,0,5,6.387627016370611,2.964003011584282,149.90612700057682,271.3736263736264,1.2157252873906843,0.0,5,5,6,6,8,11,19,30,150,150,150
GET,GET /api/final-results,204,0,6,8.179814470578076,3.845480998279527,117.67500599671621,2958.0,0.3406702728402467,0.0,6,6,7,8,11,13,27,44,120,120,120
GET,GET /api/questions,537,0,6,7.707660321207601,4.303515001083724,105.88941999594681,6741.648044692737,0.8967643946824141,0.0,6,7,7,8,10,13,19,29,110,110,110
GET,GET /api/questions (setup),25,0,110.0,117.17664887954015,74.20787600858603,195.42632599768694,6741.72,0.04174880794610866,0.0,110,110,120,150,180,190,200,200,200,200,200
GET,GET /api/questions (switch),206,0,6,8.261577160596662,4.225213007885031,153.40027799538802,6743.859223300971,0.3440101774759354,0.0,6,7,7,8,11,17,23,26,150,150,150
GET,GET /api/student-responses,402,0,14,15.51201936151179,9.906427003443241,64.318203003495,19880.544776119405,0.6713208317734273,0.0,14,15,16,17,21,25,29,34,64,64,64
GET,GET /api/student-responses (load sheet),872,0,14,20.438228787940023,9.403846008353867,226.5067810076289,19880.702981651375,1.45619842116027,0.0,14,16,18,19,24,41,130,170,230,230,230
GET,GET /api/students,386,0,28,31.169486411852,19.073834002483636,237.70556300587486,13022.0,0.6446015946879178,0.0,28,31,34,35,40,46,54,59,240,240,240
POST,POST /api/authenticate,25,0,3700.0,3720.1441213593353,3430.198386005941,3918.2637549965875,655.0,0.04174880794610866,0.0,3700,3800,3900,3900,3900,3900,3900,3900,3900,3900,3900
PUT,PUT /api/student-responses (grade),855,0,47,52.3260871062977,26.86073799850419,210.7718030019896,397.02456140350876,1.4278092317569162,0.0,47,53,58,63,75,88,110,140,210,210,210
,Aggregated,6933,0,12,33.63951336766169,2.964003011584282,3918.2637549965875,5830.529208135006,11.577779419614854,0.0,12,20,26,30,46,62,100,140,3900,3900,3900
