Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,360,0,8,9.068023305513229,4.493852000450715,65.72703600249952,883.0,0.6003684583806447,0.0,8,9,10,10,12,13,16,18,66,66,66
GET,GET /api/exam-sheets,217,0,10,10.68282693520286,6.164744998386595,22.247947999858297,2254.179723502304,0.36188876519055524,0.0,10,11,12,13,14,16,19,20,22,22,22
GET,GET /api/exam-sheets (progress),167,0,10,10.465022461072502,5.6246240019390825,29.58373000001302,2253.497005988024,0.2785042570821324,0.0,10,11,12,12,14,15,18,22,30,30,30
GET,GET /api/exam-sheets (setup),10,0,980.0,979.1247859990108,951.0349049996876,990.7522049979889,2252.5,0.016676901621684573,0.0,980,990,990,990,990,990,990,990,990,990,990
GET,GET /api/exams,321,0,10,10.706906719566188,5.423393999080872,40.85266500260332,818.0,0.5353285420560748,0.0,10,11,12,12,14,15,21,23,41,41,41
GET,GET /api/exams (setup),10,0,130.0,111.06931190042815,25.68613000039477,160.7466370005568,818.0,0.016676901621684573,0.0,140,140,150,150,160,160,160,160,160,160,160
GET,GET /api/exams/{id},304,0,7,8.259458865004968,4.074689997651149,38.45957000157796,271.4078947368421,0.506977809299211,0.0,7,8,9,9,11,13,17,24,38,38,38
GET,GET /api/final-results,80,0,8,9.910189024776628,5.817877998197218,40.72999599884497,2958.0,0.13341521297347658,0.0,9,9,10,11,15,18,25,41,41,41,41
GET,GET /api/questions,229,0,10,10.409368921536316,5.904055000428343,25.742705998709425,6742.266375545852,0.38190104713657674,0.0,10,11,11,12,14,16,19,22,26,26,26
GET,GET /api/questions (setup),10,0,84,82.61390610059607,58.76439100029529,104.9934700022277,6738.5,0.016676901621684573,0.0,88,92,94,97,100,100,100,100,100,100,100
GET,GET /api/questions (switch),89,0,10,10.19349079772868,6.448527998145437,24.7755620002863,6741.213483146067,0.1484244244329927,0.0,10,11,11,11,14,15,19,25,25,25,25
GET,GET /api/student-responses,152,0,19,20.057137782858167,10.974806002195692,35.270568001578795,18751.361842105263,0.2534889046496055,0.0,19,21,22,23,26,28,29,35,35,35,35
GET,GET /api/student-responses (load sheet),380,0,19,21.701192860535613,11.525164998602122,120.90151899974444,18646.365789473683,0.6337222616240138,0.0,19,21,22,23,28,33,62,89,120,120,120
GET,GET /api/students,137,0,14,14.727776941483675,9.62224300019443,80.05918700291659,13022.0,0.22847355221707866,0.0,14,15,16,16,18,20,25,28,80,80,80
POST,POST /api/authenticate,10,0,360.0,393.2077361001575,335.51693499975954,501.9716030001291,655.0,0.016676901621684573,0.0,370,420,420,460,500,500,500,500,500,500,500
PUT,PUT /api/student-responses (grade),321,0,55,61.71023666045987,35.26759699889226,170.51319799793418,394.2274143302181,0.5353285420560748,0.0,55,62,68,72,86,100,120,140,170,170,170
,Aggregated,2797,0,11,23.648152114361004,4.074689997651149,990.7522049979889,5670.3864855202,4.664529383585175,0.0,11,15,19,21,50,64,97,140,990,990,990
