Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,366,0,10,12.324207360785305,4.650777998904232,95.65665499758325,883.0,0.6127158441129186,0.0,10,11,12,13,20,29,44,59,96,96,96
GET,GET /api/exam-sheets,228,0,11,11.986985903428847,6.093129002692876,95.93172899985802,2254.0789473684213,0.38169183731624434,0.0,11,12,13,13,16,17,26,34,96,96,96
GET,GET /api/exam-sheets (progress),180,0,11,11.669542055581891,6.616138001845684,78.9335689987638,2253.9,0.3013356610391403,0.0,11,12,12,13,15,16,21,50,79,79,79
GET,GET /api/exam-sheets (setup),10,0,710.0,716.3460892010335,696.0993870015955,736.3296210023691,2253.4,0.016740870057730013,0.0,720,720,730,730,740,740,740,740,740,740,740
GET,GET /api/exams,303,0,11,11.973636653439028,6.057942999177612,96.28860399971018,818.0,0.5072483627492195,0.0,11,11,12,13,15,19,27,34,96,96,96
GET,GET /api/exams (setup),10,0,180.0,176.4011939001648,113.18214499988244,229.78028799843742,818.0,0.016740870057730013,0.0,190,200,200,220,230,230,230,230,230,230,230
GET,GET /api/exams/{id},320,0,8,8.818832234294405,4.570352000882849,44.770427000912605,271.325,0.5357078418473604,0.0,8,9,10,10,12,14,19,24,45,45,45
GET,GET /api/final-results,81,0,10,11.155291185225648,5.129074997967109,34.71569199973601,2958.0,0.13560104746761312,0.0,10,11,12,13,15,16,32,35,35,35,35
GET,GET /api/questions,178,0,11,11.732016679856356,5.519269998330856,102.9738789984549,6743.539325842697,0.29798748702759426,0.0,11,12,12,13,14,16,22,57,100,100,100
GET,GET /api/questions (setup),10,0,110.0,115.58185020003293,95.50586699697305,154.73224900051719,6740.8,0.016740870057730013,0.0,110,120,130,140,150,150,150,150,150,150,150
GET,GET /api/questions (switch),72,0,11,11.95844520831694,6.632710999838309,49.91684299966437,6743.291666666667,0.12053426441565611,0.0,11,12,13,14,16,23,27,50,50,50,50
GET,GET /api/student-responses,153,0,19,19.786725993493793,11.368064999260241,41.87054399881163,19256.581699346407,0.2561353118832692,0.0,19,20,22,23,26,27,31,34,42,42,42
GET,GET /api/student-responses (load sheet),331,0,20,25.625093758301517,11.946753998927306,234.97431899886578,18968.099697885198,0.5541227989108635,0.0,20,22,24,25,31,45,110,210,230,230,230
GET,GET /api/students,141,0,14,17.350441092172808,8.388433001528028,205.4481350023707,13022.0,0.2360462678139932,0.0,14,16,18,19,23,29,43,49,210,210,210
POST,POST /api/authenticate,10,0,790.0,800.6065141991712,752.1686949985451,862.8752949989575,655.0,0.016740870057730013,0.0,800,800,840,850,860,860,860,860,860,860,860
PUT,PUT /api/student-responses (grade),366,0,67,76.85472334168843,36.32983599891304,369.81716900118045,394.62841530054646,0.6127158441129186,0.0,67,77,84,93,120,150,170,220,370,370,370
,Aggregated,2759,0,12,28.931136862659447,4.570352000882849,862.8752949989575,5368.923160565422,4.618806048927711,0.0,12,17,21,25,63,89,140,220,840,860,860
