Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,468,0,25,29.069147604747982,14.082521003729198,188.71474399929866,883.0,1.5649267566953229,0.0,25,28,31,33,39,44,66,120,190,190,190
GET,GET /api/exam-sheets,254,0,8,11.561744283576767,4.577379004331306,248.5540729976492,2254.0590551181103,0.8493405901722478,0.0,8,10,11,12,16,23,33,51,250,250,250
GET,GET /api/exam-sheets (progress),209,0,8,9.884761066785089,5.237839002802502,67.90250300400658,2254.5454545454545,0.6988668635669284,0.0,8,9,10,11,15,17,30,54,68,68,68
GET,GET /api/exam-sheets (setup),25,0,140.0,143.14816760044778,54.05693499778863,277.6174300015555,2254.48,0.08359651478073306,0.0,140,150,160,170,210,210,280,280,280,280,280
GET,GET /api/exams,379,0,8,10.678068582870226,5.037493996496778,165.10065000329632,818.0,1.267323164075913,0.0,8,9,10,11,15,19,35,73,170,170,170
GET,GET /api/exams (setup),25,0,84,102.68445075926138,58.050256993738,213.83844799856888,818.0,0.08359651478073306,0.0,84,100,110,160,170,210,210,210,210,210,210
GET,GET /api/exams/{id},334,0,6,7.693317096055978,3.805477994319517,115.97434100258397,271.41317365269464,1.1168494374705937,0.0,6,6,7,7,11,14,22,29,120,120,120
GET,GET /api/final-results,94,0,7,9.103890148950047,4.838163004023954,68.99728699499974,2958.0,0.3143228955755563,0.0,7,8,9,12,15,17,18,69,69,69,69
GET,GET /api/questions,285,0,8,9.281275694752766,4.752685003040824,107.0918650002568,6742.333333333333,0.9530002685003569,0.0,8,8,10,11,13,16,21,35,110,110,110
GET,GET /api/questions (setup),25,0,120.0,118.09205308032688,62.089273997116834,163.8876109936973,6743.56,0.08359651478073306,0.0,120,130,140,140,160,160,160,160,160,160,160
GET,GET /api/questions (switch),100,0,8,9.217088789882837,5.10109199967701,37.03289800614584,6741.49,0.33438605912293223,0.0,8,8,9,11,14,20,37,37,37,37,37
GET,GET /api/student-responses,186,0,16,17.65983328982901,10.781038996356074,41.872157002217136,19860.8064516129,0.621958069968654,0.0,16,17,18,21,26,30,37,41,42,42,42
GET,GET /api/student-responses (load sheet),467,0,17,29.8304495890307,10.719325000536628,290.11301699938485,19855.60813704497,1.5615828961040936,0.0,17,20,23,25,41,130,200,240,290,290,290
GET,GET /api/students,181,0,30,33.78717447511269,19.531220001226757,94.75040400138823,13022.0,0.6052387670125073,0.0,30,34,37,40,48,55,66,94,95,95,95
POST,POST /api/authenticate,25,0,3700.0,3639.0070207591634,3305.7865659939125,3815.417300997069,655.0,0.08359651478073306,0.0,3700,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
PUT,PUT /api/student-responses (grade),410,0,51,56.85122355825137,28.111867999541573,194.56431300204713,395.1609756097561,1.3709828424040222,0.0,51,57,64,68,84,98,120,150,190,190,190
,Aggregated,3467,0,15,50.86803424079528,3.805477994319517,3815.417300997069,5906.797807903086,11.59316466979206,0.0,15,23,29,36,54,84,150,210,3800,3800,3800
