Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,34912,0,1500.0,1731.3439639493674,3.628720995038748,6365.430367994122,883.0,58.20649367267471,0.0,1500,1800,2000,2100,2600,3200,3800,4400,5800,6300,6400
GET,GET /api/exam-sheets,20918,0,1600.0,1746.6279150206624,4.05957899056375,6492.2910740133375,2254.0032985945118,34.87521295385568,0.0,1600,1800,2000,2100,2600,3200,3800,4400,5700,6300,6500
GET,GET /api/exam-sheets (progress),16755,0,1600.0,1762.0205891516814,4.15210600476712,6231.0116839944385,2253.969382273948,27.934515395441817,0.0,1600,1800,2000,2100,2700,3200,3800,4300,5800,6100,6200
GET,GET /api/exam-sheets (setup),2000,0,2400.0,2632.9435582833366,3.5138920065946877,7110.687083011726,2254.048,3.334469160900247,0.0,2400,3500,4000,4400,5000,5400,5800,5900,6400,7100,7100
GET,GET /api/exams,28062,0,1500.0,1717.8450034922955,4.976089985575527,6688.445826002862,818.0,46.785936796591365,0.0,1500,1800,1900,2100,2600,3200,3800,4300,5700,6100,6700
GET,GET /api/exams (setup),2000,0,2900.0,2762.448376297521,4.49822298833169,6582.6335749879945,818.0,3.334469160900247,0.0,2900,3800,4300,4600,5100,5500,5800,5900,6500,6600,6600
GET,GET /api/exams/{id},27800,0,1500.0,1695.3388615025326,2.9625330062117428,6806.864681013394,271.3369784172662,46.349121336513434,0.0,1500,1700,1900,2100,2600,3200,3800,4500,5600,6200,6800
GET,GET /api/final-results,7088,0,1500.0,1723.0664871459144,3.832599992165342,6291.155765007716,2958.0,11.817358706230475,0.0,1500,1800,2000,2100,2600,3200,3800,4300,5800,6300,6300
GET,GET /api/questions,21082,0,1300.0,1489.5794488037016,4.5469919859897345,6007.097260007868,6742.435157954653,35.1486394250495,0.0,1300,1500,1600,1800,2300,3000,3600,4200,5600,6000,6000
GET,GET /api/questions (setup),2000,0,2200.0,2435.886899582065,3.833833005046472,6152.436378994025,6742.456,3.334469160900247,0.0,2200,2900,3700,4000,4900,5300,5700,5700,6100,6200,6200
GET,GET /api/questions (switch),8323,0,1300.0,1478.9293686607293,5.368132988223806,5746.32811898482,6742.298329929112,13.876393413086378,0.0,1300,1500,1600,1800,2300,2800,3400,3900,5500,5700,5700
GET,GET /api/student-responses,14061,0,2600.0,2797.909926320895,10.713511990616098,10743.187687010504,19879.03100775194,23.442985435709186,0.0,2600,2900,3200,3300,3900,4500,5600,7400,10000,11000,11000
GET,GET /api/student-responses (load sheet),35838,0,2600.0,2802.903278595973,9.294815012253821,10947.258207015693,19879.150008371,59.75035289417152,0.0,2600,2900,3200,3400,4000,4600,6300,8300,10000,11000,11000
GET,GET /api/students,13926,0,2600.0,2791.5152030868876,15.421572985360399,10761.330092995195,13022.0,23.21790876734842,0.0,2600,2900,3100,3300,3900,4500,5500,7200,10000,11000,11000
POST,POST /api/authenticate,2000,0,6100.0,5864.737886946815,332.30456899036653,10673.703381995438,655.0,3.334469160900247,0.0,6200,7200,7900,8300,9100,9600,9900,10000,11000,11000,11000
PUT,PUT /api/student-responses (grade),33503,0,1800.0,1936.0004669094978,40.0243760086596,7063.766634993954,396.36056472554696,55.85736014882048,0.0,1800,2000,2200,2300,2900,3400,4000,4500,5900,6600,7100
,Aggregated,270268,0,1700.0,2030.154440467728,2.9625330062117428,10947.258207015693,5820.06315953054,450.60015558909396,0.0,1700,2200,2400,2600,3300,3900,4900,5800,9700,11000,11000
