Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,48,0,7,27.76956022914116,3.7427560018841177,144.94670699787093,883.0,3.2776449111344816,0.0,7,16,29,53,110,120,140,140,140,140,140
GET,GET /api/exam-sheets,20,0,6,11.546442349936115,4.241255999659188,44.37819599843351,2254.75,1.3656853796393673,0.0,6,6,7,23,44,44,44,44,44,44,44
GET,GET /api/exam-sheets (progress),14,0,7,22.282640571315174,4.575922997901216,87.2779079945758,2253.1428571428573,0.9559797657475572,0.0,7,31,37,41,60,87,87,87,87,87,87
GET,GET /api/exam-sheets (setup),50,0,50,61.07424123940291,16.378257001633756,139.12612599960994,2253.22,3.414213449098418,0.0,54,77,91,98,110,110,140,140,140,140,140
GET,GET /api/exams,27,0,7,14.120597185360062,5.14916300016921,62.486495000484865,818.0,1.8436752625131458,0.0,7,8,20,23,32,39,62,62,62,62,62
GET,GET /api/exams (setup),50,0,76,76.51490102012758,6.765430000086781,206.48876600171207,818.0,3.414213449098418,0.0,78,92,97,110,120,150,210,210,210,210,210
GET,GET /api/exams/{id},35,0,5,20.90726434211579,3.649676997156348,108.37946400715737,271.42857142857144,2.3899494143688926,0.0,5,6,7,41,92,100,110,110,110,110,110
GET,GET /api/final-results,8,0,5,10.52760737547942,4.31232999835629,45.68296200159239,2958.0,0.5462741518557469,0.0,6,6,7,7,46,46,46,46,46,46,46
GET,GET /api/questions,19,0,7,17.427320263155515,4.719368000223767,134.11421500495635,6740.315789473684,1.297401110657399,0.0,7,8,9,16,44,130,130,130,130,130,130
GET,GET /api/questions (setup),50,0,62,67.50162728014402,22.290347005764488,182.54011499811895,6740.34,3.414213449098418,0.0,63,74,91,96,120,130,180,180,180,180,180
GET,GET /api/questions (switch),8,0,6,12.924823375215055,5.900279000343289,58.72975599777419,6744.25,0.5462741518557469,0.0,6,7,8,8,59,59,59,59,59,59,59
GET,GET /api/student-responses,13,0,13,24.076568615363122,10.080613996251486,98.54869400442112,19869.153846153848,0.8876954967655888,0.0,13,14,14,14,78,99,99,99,99,99,99
GET,GET /api/student-responses (load sheet),96,0,58,64.47182073975455,10.159853001823649,178.1905989992083,19868.885416666668,6.555289822268963,0.0,63,86,97,110,140,140,170,180,180,180,180
GET,GET /api/students,11,0,11,30.30212318249555,6.837563996668905,131.78870500269113,13022.0,0.751126958801652,0.0,11,31,34,34,67,130,130,130,130,130,130
POST,POST /api/authenticate,50,0,3800.0,3437.332418700389,944.5978779986035,4211.989657000231,655.0,3.414213449098418,0.0,3800,3900,3900,4000,4100,4100,4200,4200,4200,4200,4200
PUT,PUT /api/student-responses (grade),35,0,47,60.92795351474446,28.173398997751065,184.25622199720237,403.6,2.3899494143688926,0.0,47,52,65,73,120,140,180,180,180,180,180
,Aggregated,534,0,42,364.41352984273976,3.649676997156348,4211.989657000231,5997.567415730337,36.46379963637111,0.0,43,69,93,100,180,3800,4000,4100,4200,4200,4200
