Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,4796,0,5100.0,5234.713766276501,1565.773073998571,10668.0659640042,883.0,16.003962208405717,0.0,5100,5500,5700,5900,6300,6800,7200,7500,8600,11000,11000
GET,GET /api/exam-sheets,2946,0,5000.0,5117.463623901469,1680.7034000012209,9662.748586000816,2254.039714867617,9.830623992069066,0.0,5000,5300,5500,5700,6200,6700,7200,7600,8800,9700,9700
GET,GET /api/exam-sheets (progress),1905,0,4900.0,5021.700329435179,3215.2125890061143,8965.740221996384,2254.0377952755907,6.35686989303855,0.0,4900,5200,5400,5600,6000,6400,6900,7100,8200,9000,9000
GET,GET /api/exam-sheets (setup),2000,0,4200.0,16858.96966335245,1553.1827529994189,94286.0322159977,2254.0525,6.6738791527963786,0.0,4200,6300,8000,35000,70000,86000,93000,93000,94000,94000,94000
GET,GET /api/exams,3859,0,5000.0,5077.591847950844,1579.6158369994373,9967.132245001267,818.0,12.877249825320613,0.0,5000,5300,5500,5700,6100,6600,7100,7400,8900,10000,10000
GET,GET /api/exams (setup),2000,0,50000.0,50468.16404876401,1886.685411001963,96894.15266199649,818.0,6.6738791527963786,0.0,55000,69000,71000,79000,89000,93000,95000,95000,97000,97000,97000
GET,GET /api/exams/{id},3859,0,4900.0,5030.8657731093745,1673.50885799533,8723.154273000546,271.3288416688261,12.877249825320613,0.0,4900,5200,5500,5600,6100,6500,7000,7200,8200,8700,8700
GET,GET /api/final-results,995,0,5000.0,5070.189363538702,2408.107043003838,9108.778603993414,2958.0,3.3202548785161983,0.0,5000,5300,5500,5600,6100,6500,7100,7400,9100,9100,9100
GET,GET /api/questions,2943,0,4500.0,4590.479108355419,1671.338295993337,7886.714271000528,6742.630309208291,9.820613173339872,0.0,4500,4700,4900,5000,5500,5800,6300,6500,7400,7900,7900
GET,GET /api/questions (setup),2000,0,3500.0,4543.165753935457,1543.6537679997855,43830.496522998146,6742.4675,6.6738791527963786,0.0,3500,4200,4600,5000,6100,6800,17000,43000,44000,44000,44000
GET,GET /api/questions (switch),984,0,4400.0,4536.982719727598,3128.124287999526,6937.400967995927,6742.263211382114,3.2835485431758182,0.0,4400,4600,4800,4900,5300,5700,6000,6300,6900,6900,6900
GET,GET /api/student-responses,1799,0,9100.0,9209.30198472199,3419.688681002299,13350.937749994046,19880.37520844914,6.003154297940343,0.0,9100,9500,9700,9900,11000,11000,11000,12000,13000,13000,13000
GET,GET /api/student-responses (load sheet),6194,0,9300.0,9356.941741646431,1928.4875459998148,14316.047940003045,19881.508395221183,20.669003736210385,0.0,9300,9700,10000,10000,11000,11000,12000,12000,13000,14000,14000
GET,GET /api/students,1883,0,9200.0,9316.432114943747,2842.161946995475,14010.251093000988,13022.0,6.28345722235779,0.0,9200,9500,9800,10000,11000,11000,12000,12000,14000,14000,14000
POST,POST /api/authenticate,2000,0,55000.0,57801.52475639688,9742.696549001266,106140.04176200251,655.0,6.6738791527963786,0.0,59000,73000,83000,89000,99000,105000,105000,105000,106000,106000,106000
PUT,PUT /api/student-responses (grade),3751,0,5300.0,5435.288597195102,3406.5317420026986,9050.967887997103,397.1858171154359,12.516860351069608,0.0,5300,5600,5900,6000,6400,6800,7300,7700,8600,9100,9100
,Aggregated,43914,0,5500.0,11011.848400027962,1543.6537679997855,106140.04176200251,5798.931024274719,146.53836455795008,0.0,5500,6900,8900,9400,12000,57000,83000,93000,105000,106000,106000
