Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,382,0,8,9.019268382295643,4.486285000893986,54.24366599982022,883.0,0.6372289703454788,0.0,8,9,10,10,11,12,14,20,54,54,54
GET,GET /api/exam-sheets,224,0,9,9.924266772470348,5.262947001028806,18.115850998583483,2254.1875,0.37366306114499276,0.0,9,10,11,11,12,14,15,16,18,18,18
GET,GET /api/exam-sheets (progress),164,0,10,10.119981963459683,5.160484000953147,23.603452998941066,2254.420731707317,0.2735747411954411,0.0,10,10,11,12,13,15,17,18,24,24,24
GET,GET /api/exam-sheets (setup),10,0,460.0,445.9964214005595,375.9245729997929,479.11572600060026,2255.2,0.016681386658258607,0.0,470,470,470,480,480,480,480,480,480,480,480
GET,GET /api/exams,274,0,10,10.476559113197977,5.337913000403205,46.670454001287,818.0,0.4570699944362858,0.0,10,11,11,12,13,15,17,37,47,47,47
GET,GET /api/exams (setup),10,0,48,67.4171007998666,17.432188000384485,124.33477300146478,818.0,0.016681386658258607,0.0,55,100,110,110,120,120,120,120,120,120,120
GET,GET /api/exams/{id},302,0,7,7.593803178679082,4.255944000760792,30.04845000032219,271.19867549668874,0.5037778770794099,0.0,7,8,8,9,9,10,12,17,30,30,30
GET,GET /api/final-results,80,0,9,9.449630900053307,5.662660001689801,24.64254300139146,2958.0,0.13345109326606885,0.0,9,10,10,11,13,15,15,25,25,25,25
GET,GET /api/questions,212,0,9,13.01940055188579,5.541703001654241,669.4309829981648,6742.297169811321,0.3536453971550824,0.0,9,10,11,12,13,14,17,19,670,670,670
GET,GET /api/questions (setup),10,0,50,51.211239700205624,38.28104700005497,63.23922199953813,6745.4,0.016681386658258607,0.0,50,51,56,62,63,63,63,63,63,63,63
GET,GET /api/questions (switch),92,0,9,9.626419804431942,6.413566999981413,16.51914999820292,6742.75,0.15346875725597917,0.0,9,10,11,11,12,13,16,17,17,17,17
GET,GET /api/student-responses,152,0,19,19.59009369738851,12.670792999415426,40.24530800234061,19032.24342105263,0.2535570772055308,0.0,19,20,21,22,23,25,27,30,40,40,40
GET,GET /api/student-responses (load sheet),346,0,19,21.26052543942176,12.066565999703016,92.5991639996937,18816.852601156068,0.5771759783757477,0.0,19,21,22,22,25,33,52,84,93,93,93
GET,GET /api/students,155,0,13,13.921854993461766,8.383721000427613,34.06402300242917,13022.0,0.25856149320300836,0.0,13,14,15,15,17,20,22,25,34,34,34
POST,POST /api/authenticate,10,0,250.0,256.64985199910006,184.82421000226168,350.4310469979828,655.0,0.016681386658258607,0.0,270,270,310,340,350,350,350,350,350,350,350
PUT,PUT /api/student-responses (grade),347,0,53,65.53474167427989,29.519337997044204,1493.37088899847,395.21325648414984,0.5788441170415736,0.0,53,58,65,72,92,110,150,230,1500,1500,1500
,Aggregated,2770,0,11,21.782930742624114,4.255944000760792,1493.37088899847,5584.173285198556,4.620744104337634,0.0,11,15,19,21,48,61,95,150,480,1500,1500
