Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,14900,0,4900.0,4981.305513930897,1835.0664169993252,9223.574936011573,883.0,24.857375105054956,0.0,4900,5200,5400,5500,6000,6400,7000,7300,8500,9000,9200
GET,GET /api/exam-sheets,9168,0,4700.0,4806.945671357704,1851.1894830007805,9740.472383011365,2254.0441753926702,15.294792950546567,0.0,4700,5000,5200,5300,5700,6100,6600,7000,8100,9700,9700
GET,GET /api/exam-sheets (progress),6992,0,4700.0,4790.067490565935,2554.383412003517,8614.49501500465,2253.995709382151,11.664615217083508,0.0,4700,5000,5200,5300,5700,6000,6500,6700,7900,8600,8600
GET,GET /api/exam-sheets (setup),2000,0,4600.0,17056.317188745546,1548.023188006482,94093.97568000713,2254.0435,3.3365604167859004,0.0,4700,6600,8500,33000,68000,85000,92000,92000,94000,94000,94000
GET,GET /api/exams,12039,0,4700.0,4788.5868953734125,1847.2333920071833,9412.905556993792,818.0,20.084425428842728,0.0,4700,5000,5200,5300,5700,6100,6600,7000,7800,8500,9400
GET,GET /api/exams (setup),2000,0,49000.0,49606.63980716154,1974.4528900046134,96074.34886600822,818.0,3.3365604167859004,0.0,53000,68000,70000,79000,88000,92000,93000,94000,96000,96000,96000
GET,GET /api/exams/{id},12074,0,4700.0,4765.063532919723,1966.3356079981895,8850.03365301236,271.33510021533874,20.142815236136478,0.0,4700,5000,5100,5300,5700,6000,6600,7000,7900,8400,8900
GET,GET /api/final-results,3029,0,4700.0,4792.279863362945,1856.8052480113693,8770.479161001276,2958.0,5.053220751222246,0.0,4700,5000,5200,5300,5700,6100,6500,7000,7800,8800,8800
GET,GET /api/questions,8985,0,4300.0,4335.737637976769,1819.6841419994598,8588.637383989408,6742.159265442404,14.989497672410657,0.0,4300,4500,4600,4700,5100,5500,5900,6300,7200,8600,8600
GET,GET /api/questions (setup),2000,0,3600.0,4565.673151014539,1544.8240030091256,44962.13323301345,6742.4445,3.3365604167859004,0.0,3600,4000,4300,4700,6300,7000,41000,42000,44000,45000,45000
GET,GET /api/questions (switch),3492,0,4300.0,4332.753535821607,2141.3462229975266,7128.800493999734,6742.280641466208,5.825634487708181,0.0,4300,4500,4600,4700,5100,5400,5800,6100,6900,7100,7100
GET,GET /api/student-responses,5943,0,8700.0,8720.05207840414,2354.309825008386,12959.897727996577,19879.145381120645,9.914589278479303,0.0,8700,9000,9200,9400,9800,10000,11000,11000,12000,13000,13000
GET,GET /api/student-responses (load sheet),16182,0,8800.0,8815.778717087816,2289.3840149918105,13769.391381996684,19879.012235817576,26.99611033221472,0.0,8800,9100,9400,9500,10000,11000,11000,11000,13000,13000,14000
GET,GET /api/students,6033,0,8700.0,8790.172153804442,2324.8519850021694,13585.866755995085,13022.0,10.064734497234667,0.0,8700,9000,9300,9400,9900,10000,11000,11000,12000,14000,14000
POST,POST /api/authenticate,2000,0,54000.0,57259.43715481262,9288.20470199571,105255.37403499766,655.0,3.3365604167859004,0.0,59000,72000,82000,89000,98000,103000,103000,104000,105000,105000,105000
PUT,PUT /api/student-responses (grade),13772,0,5100.0,5176.051808929918,2456.841325998539,9934.414604998892,396.9751670055184,22.97555502998771,0.0,5100,5400,5600,5700,6100,6500,7000,7300,8400,9400,9900
,Aggregated,120609,0,5100.0,7556.1631374834415,1544.8240030091256,105255.37403499766,5808.684467991609,201.2096076540653,0.0,5100,5800,7800,8400,9200,10000,51000,73000,103000,104000,105000
